"","tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"70","N310NW",1990,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,NA,"Turbo-jet"
"71","N709UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-112",2,179,NA,"Turbo-fan"
"72","N979DL",1991,"Fixed wing multi engine","MCDONNELL DOUGLAS AIRCRAFT CO","MD-88",2,142,NA,"Turbo-fan"
"73","N12122",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"74","N401WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"75","N8886A",2003,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
"76","N251WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"77","N14952",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"78","N470AA",1988,"Fixed wing multi engine","MCDONNELL DOUGLAS","DC-9-82(MD-82)",2,172,NA,"Turbo-fan"
"79","N588UA",1993,"Fixed wing multi engine","BOEING","757-222",2,178,NA,"Turbo-jet"
"80","N589UA",1997,"Fixed wing multi engine","BOEING","757-222",2,178,NA,"Turbo-jet"
"81","N33209",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"82","N453UW",1991,"Fixed wing multi engine","BOEING","737-4B7",2,149,NA,"Turbo-fan"
"83","N369NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"84","N969AT",2001,"Fixed wing multi engine","BOEING","717-200",2,100,NA,"Turbo-fan"
"85","N377NW",2003,"Fixed wing multi engine","AIRBUS","A320-211",2,182,NA,"Turbo-fan"
"86","N541UW",2009,"Fixed wing multi engine","AIRBUS","A321-231",2,379,NA,"Turbo-fan"
"87","N37287",2004,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"88","N459UA",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"89","N767SW",NA,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"90","N77510",2008,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"91","N918DL",1988,"Fixed wing multi engine","MCDONNELL DOUGLAS AIRCRAFT CO","MD-88",2,142,NA,"Turbo-fan"
"92","N427US",1989,"Fixed wing multi engine","BOEING","737-4B7",2,149,NA,"Turbo-fan"
"93","N965AT",2001,"Fixed wing multi engine","BOEING","717-200",2,100,NA,"Turbo-fan"
"94","N66051",2000,"Fixed wing multi engine","BOEING","767-424ER",2,292,NA,"Turbo-jet"
"95","N512MJ",2003,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"96","N73445",2011,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"97","N342NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"98","N641DL",1988,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"99","N207FR",2010,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"100","N324AA",1986,"Fixed wing multi engine","BOEING","767-223",2,255,NA,"Turbo-fan"
