Respondent id number,indus,altenergy
1283,Very dangerous,Too little
1296,Very dangerous,Too little
1302,Extremely dangerous,Too little
1306,Extremely dangerous,Too little
1311,Somewhat dangerous,Too little
1312,Very dangerous,About right
1314,Extremely dangerous,About right
1316,Very dangerous,Too little
1320,Very dangerous,Too little
1323,Somewhat dangerous,Too little
1326,Somewhat dangerous,Too much
1327,Very dangerous,About right
1329,Very dangerous,Too little
1331,Very dangerous,Don't know
1333,Somewhat dangerous,About right
1338,Very dangerous,Too little
1340,Very dangerous,About right
1343,Somewhat dangerous,About right
1345,Very dangerous,About right
1347,Very dangerous,Too little
1352,Very dangerous,About right
1354,Very dangerous,About right
1356,Extremely dangerous,Too little
1359,Extremely dangerous,Too little
1361,Very dangerous,About right
1363,Extremely dangerous,Too little
1366,Very dangerous,Too little
1369,Very dangerous,Too little
1372,Very dangerous,Too little
1374,Extremely dangerous,Don't know
1378,Very dangerous,Too little
1380,Somewhat dangerous,About right
1382,Somewhat dangerous,Too little
1387,Extremely dangerous,Too much
1389,Very dangerous,Don't know
1392,Extremely dangerous,Too little
1395,Somewhat dangerous,Too little
1398,Somewhat dangerous,About right
1401,Very dangerous,Don't know
1403,Extremely dangerous,Too little
1406,Very dangerous,Don't know
1409,Extremely dangerous,Too little
1410,Extremely dangerous,About right
1412,Somewhat dangerous,Too little
1414,Somewhat dangerous,Too little
1416,Very dangerous,Too little
1418,Not dangerous,About right
1421,Very dangerous,Too little
1424,Very dangerous,Too little
1428,Somewhat dangerous,Too little
1430,Extremely dangerous,Too little
1432,Extremely dangerous,Too little
1434,Extremely dangerous,Too little
1439,Somewhat dangerous,About right
1441,Somewhat dangerous,About right
1444,Extremely dangerous,Too little
1448,Extremely dangerous,About right
1449,Extremely dangerous,Too little
1457,Somewhat dangerous,Too much
1459,Extremely dangerous,Don't know
1460,Somewhat dangerous,Too little
1468,Somewhat dangerous,About right
1472,Somewhat dangerous,About right
1474,Somewhat dangerous,Don't know
1477,Extremely dangerous,Don't know
1482,Somewhat dangerous,Too little
1484,Somewhat dangerous,About right
1487,Somewhat dangerous,Too little
1491,Very dangerous,Too little
1493,Somewhat dangerous,Too little
1496,Somewhat dangerous,About right
1498,Extremely dangerous,Too much
1501,Very dangerous,Too little
1502,Extremely dangerous,Too little
1503,Very dangerous,About right
1504,Extremely dangerous,Too little
1508,Extremely dangerous,Too much
1510,Extremely dangerous,Too little
1514,Extremely dangerous,Don't know
1517,Extremely dangerous,Too little
1520,Extremely dangerous,Too little
1523,Extremely dangerous,Too little
1526,Very dangerous,Too much
1529,Extremely dangerous,Don't know
1530,Somewhat dangerous,Too little
1531,Extremely dangerous,Too little
1533,Somewhat dangerous,Too little
1535,Very dangerous,Don't know
1539,Somewhat dangerous,About right
1542,Very dangerous,Too little
1546,Somewhat dangerous,About right
1550,Extremely dangerous,Too little
1552,Somewhat dangerous,About right
1561,Extremely dangerous,Too little
1565,Extremely dangerous,Too little
1566,Very dangerous,About right
1571,Very dangerous,Too little
1574,Somewhat dangerous,About right
1577,Somewhat dangerous,About right
1579,Somewhat dangerous,Too little
1580,Very dangerous,About right
1582,Somewhat dangerous,Too much
1588,Very dangerous,Too much
1589,Somewhat dangerous,About right
1590,Somewhat dangerous,Too little
1593,Somewhat dangerous,About right
1596,Somewhat dangerous,Too much
1604,Very dangerous,Too little
1606,Extremely dangerous,About right
1609,Very dangerous,About right
1611,Somewhat dangerous,About right
1614,Extremely dangerous,Too little
1618,Somewhat dangerous,About right
1619,Somewhat dangerous,Too little
1621,Very dangerous,Don't know
1624,Very dangerous,Don't know
1626,Somewhat dangerous,Don't know
1629,Somewhat dangerous,About right
1631,Very dangerous,About right
1635,Very dangerous,Don't know
1637,Very dangerous,About right
1639,Extremely dangerous,Too little
1643,Somewhat dangerous,Too much
1646,Not dangerous,About right
1648,Very dangerous,About right
1651,Extremely dangerous,Too little
1655,Somewhat dangerous,Too little
1660,Somewhat dangerous,Too little
1662,Very dangerous,Too little
1667,Very dangerous,About right
1669,Somewhat dangerous,Too little
1671,Very dangerous,Too little
1673,Somewhat dangerous,Too little
1679,Very dangerous,Too little
1683,Somewhat dangerous,Too little
1686,Somewhat dangerous,Too little
1690,Extremely dangerous,About right
1692,Very dangerous,About right
1696,Very dangerous,Don't know
1697,Very dangerous,Too little
1700,Extremely dangerous,Too little
1702,Very dangerous,About right
1704,Extremely dangerous,Too little
1706,Very dangerous,About right
1709,Extremely dangerous,Too little
1712,Very dangerous,Too little
1713,Extremely dangerous,Too little
1714,Very dangerous,Too little
1716,Extremely dangerous,Too little
1717,Very dangerous,Too little
1719,Somewhat dangerous,About right
1721,Extremely dangerous,Too little
1724,Very dangerous,Too little
1726,Very dangerous,About right
1728,Extremely dangerous,About right
1734,Somewhat dangerous,About right
1736,Very dangerous,About right
1738,Very dangerous,About right
1743,Don't know,Don't know
1746,Very dangerous,About right
1748,Somewhat dangerous,Too little
1751,Extremely dangerous,About right
1754,Very dangerous,Too little
1757,Very dangerous,Too little
1759,Extremely dangerous,About right
1766,Extremely dangerous,About right
1768,Somewhat dangerous,Too little
1772,Very dangerous,Too little
1774,Very dangerous,Too much
1785,Very dangerous,About right
1787,Somewhat dangerous,Too little
1788,Somewhat dangerous,About right
1789,Somewhat dangerous,About right
1790,Somewhat dangerous,Too little
1795,Somewhat dangerous,Don't know
1798,Very dangerous,About right
1800,Somewhat dangerous,Too little
1803,Very dangerous,About right
1808,Extremely dangerous,Too little
1810,Very dangerous,Too little
1811,Extremely dangerous,Too little
1813,Extremely dangerous,Too little
1816,Very dangerous,About right
1819,Extremely dangerous,Too little
1822,Very dangerous,Too much
1823,Somewhat dangerous,Too little
1825,Extremely dangerous,Too little
1828,Somewhat dangerous,Don't know
1831,Somewhat dangerous,Too much
1832,Very dangerous,About right
1835,Somewhat dangerous,Too little
1837,Somewhat dangerous,About right
1840,Somewhat dangerous,Too little
1843,Very dangerous,About right
1848,Somewhat dangerous,Don't know
1852,Very dangerous,Don't know
1854,Extremely dangerous,About right
1859,Somewhat dangerous,About right
1861,Very dangerous,Too much
1864,Not dangerous,About right
1867,Somewhat dangerous,Don't know
1869,Extremely dangerous,About right
1871,Extremely dangerous,Too little
1874,Extremely dangerous,About right
1877,Extremely dangerous,Too little
1881,Extremely dangerous,About right
1883,Somewhat dangerous,About right
1884,Not dangerous,About right
1886,Somewhat dangerous,About right
1889,Very dangerous,Too little
1895,Very dangerous,About right
1899,Extremely dangerous,Too little
1903,Extremely dangerous,About right
1905,Very dangerous,About right
1906,Extremely dangerous,About right
1911,Extremely dangerous,About right
1912,Somewhat dangerous,About right
1914,Somewhat dangerous,About right
1916,Very dangerous,Too little
1918,Extremely dangerous,Too little
1923,Extremely dangerous,Too little
1925,Very dangerous,Too little
1927,Somewhat dangerous,Too little
1929,Extremely dangerous,Too little
1930,Very dangerous,Too little
1931,Extremely dangerous,About right
1935,Extremely dangerous,Too little
1937,Very dangerous,About right
1939,Extremely dangerous,Too little
1940,Not dangerous,Too much
1941,Somewhat dangerous,Too much
1943,Extremely dangerous,Too little
1946,Somewhat dangerous,Too little
1948,Very dangerous,Too little
1950,Somewhat dangerous,About right
1952,Very dangerous,About right
1954,Somewhat dangerous,Too little
1956,Extremely dangerous,Too little
1958,Extremely dangerous,Too little
1960,Very dangerous,Too little
1962,Extremely dangerous,Too little
1963,Extremely dangerous,About right
1965,Very dangerous,About right
1966,Extremely dangerous,About right
1968,Very dangerous,About right
1971,Very dangerous,Too little
1973,Very dangerous,Too little
1976,Extremely dangerous,Too little
1979,Extremely dangerous,Too little
1982,Extremely dangerous,Too little
1988,Extremely dangerous,About right
1991,Extremely dangerous,Too little
1993,Extremely dangerous,Too little
1994,Somewhat dangerous,About right
1995,Extremely dangerous,About right
2001,Very dangerous,Too little
2005,Somewhat dangerous,Too little
2011,Extremely dangerous,Too little
2014,Not dangerous,Too much
2017,Very dangerous,Too little
2020,Very dangerous,Too little
2022,Very dangerous,Too little
2024,Extremely dangerous,Too little
2026,Very dangerous,Too little
2028,Extremely dangerous,Too little
2031,Very dangerous,Too little
2037,Extremely dangerous,Too little
2039,Extremely dangerous,Too little
2041,Very dangerous,Too much
2043,Extremely dangerous,Too little
2047,Extremely dangerous,Too little
2049,Very dangerous,About right
2050,Somewhat dangerous,Too much
2052,Very dangerous,About right
2055,Very dangerous,Too little
2060,Very dangerous,About right
2063,Extremely dangerous,Too little
2073,Extremely dangerous,Too little
2075,Very dangerous,About right
2078,Somewhat dangerous,Too little
2081,Extremely dangerous,About right
2083,Somewhat dangerous,About right
2085,Extremely dangerous,Too little
2089,Somewhat dangerous,Too little
2093,Not dangerous,Too much
2097,Very dangerous,Too little
2099,Extremely dangerous,Too little
2101,Very dangerous,About right
2105,Somewhat dangerous,About right
2108,Somewhat dangerous,About right
2110,Somewhat dangerous,About right
2112,Very dangerous,About right
2115,Very dangerous,About right
2131,Very dangerous,Too little
2133,Very dangerous,Too little
2136,Extremely dangerous,About right
2139,Extremely dangerous,Too little
2144,Very dangerous,Too much
2148,Somewhat dangerous,Too little
2150,Very dangerous,About right
2156,Very dangerous,Too little
2157,Extremely dangerous,About right
2159,Somewhat dangerous,Too much
2161,Very dangerous,Too much
2164,Very dangerous,Too little
2166,Extremely dangerous,Too little
2167,Extremely dangerous,Too little
2170,Very dangerous,About right
2171,Extremely dangerous,Too little
2172,Extremely dangerous,Too little
2174,Very dangerous,About right
2178,Very dangerous,About right
2184,Very dangerous,About right
2186,Extremely dangerous,Too little
2187,Very dangerous,About right
2189,Somewhat dangerous,About right
2191,Very dangerous,Too much
2193,Very dangerous,Too little
2195,Extremely dangerous,Too little
2198,Extremely dangerous,Too little
2201,Somewhat dangerous,Too little
2206,Very dangerous,Too little
2209,Extremely dangerous,Too little
2213,Not dangerous,Too much
2217,Very dangerous,About right
2219,Somewhat dangerous,About right
2221,Very dangerous,About right
2224,Very dangerous,Too little
2225,Extremely dangerous,About right
2227,Very dangerous,About right
2230,Very dangerous,About right
2237,Extremely dangerous,Too little
2240,Somewhat dangerous,About right
2242,Somewhat dangerous,Too little
2244,Extremely dangerous,Too little
2245,Somewhat dangerous,Too little
2247,Very dangerous,About right
2250,Somewhat dangerous,About right
2252,Extremely dangerous,About right
2253,Very dangerous,About right
2256,Extremely dangerous,Too little
2258,Very dangerous,Too little
2262,Very dangerous,About right
2264,Not dangerous,Don't know
2269,Very dangerous,Don't know
2272,Very dangerous,About right
2284,Extremely dangerous,About right
2287,Very dangerous,Too little
2290,Very dangerous,Too little
2293,Very dangerous,Don't know
2295,Very dangerous,About right
2296,Very dangerous,About right
2298,Not dangerous,About right
2300,Extremely dangerous,About right
2302,Somewhat dangerous,Too little
2305,Very dangerous,About right
2309,Very dangerous,Too little
2312,Very dangerous,About right
2313,Somewhat dangerous,About right
2316,Not dangerous,Too little
2317,Not dangerous,Too little
2321,Somewhat dangerous,Too little
2325,Extremely dangerous,Too little
2326,Extremely dangerous,Too little
2334,Very dangerous,About right
2336,Very dangerous,Too little
2340,Very dangerous,Too little
2342,Extremely dangerous,Too much
2344,Somewhat dangerous,About right
2345,Somewhat dangerous,About right
2348,Extremely dangerous,Too little
